,billid,firstname,lastname,state,primaryorco,billstage,chambername
121,11,,Schumer,,Co,ENGROSSED,Representative
122,12,,Cleaver,,Co,ENGROSSED,Representative
123,12,,Meeks,,Co,ENGROSSED,Representative
124,12,,Quigley,,Co,ENGROSSED,Representative
125,12,,Clay,,Co,ENGROSSED,Representative
126,12,,Butterfield,,Co,ENGROSSED,Representative
127,12,,Norton,,Co,ENGROSSED,Representative
128,12,,Rush,,Co,ENGROSSED,Representative
129,12,,Ellison,,Co,ENGROSSED,Representative
130,12,,Plaskett,,Co,ENGROSSED,Representative
131,12,,Beyer,,Co,ENGROSSED,Representative
132,12,,Jayapal,,Co,ENGROSSED,Representative
133,12,,Conyers,,Co,ENGROSSED,Representative
134,12,,Adams,,Co,ENGROSSED,Representative
135,12,Wasserman,Schultz,,Co,ENGROSSED,Representative
136,12,,Raskin,,Co,ENGROSSED,Representative
137,12,,Velázquez,,Co,ENGROSSED,Representative
138,12,,Moore,,Co,ENGROSSED,Representative
139,12,,Schakowsky,,Co,ENGROSSED,Representative
140,12,,Lee,,Co,ENGROSSED,Representative
141,12,,Grijalva,,Co,ENGROSSED,Representative
142,12,,Beatty,,Co,ENGROSSED,Representative
143,12,,Fudge,,Co,ENGROSSED,Representative
144,12,,Gutiérrez,,Co,ENGROSSED,Representative
145,12,,Richmond,,Co,ENGROSSED,Representative
146,12,,Hastings,,Co,ENGROSSED,Representative
147,12,,McNerney,,Co,ENGROSSED,Representative
148,12,,Lawrence,,Co,ENGROSSED,Representative
149,12,,Shea-Porter,,Co,ENGROSSED,Representative
150,13,,Bass,,Co,ENGROSSED,Representative
151,13,,Beatty,,Co,ENGROSSED,Representative
152,13,,Beyer,,Co,ENGROSSED,Representative
153,13,,Butterfield,,Co,ENGROSSED,Representative
154,13,,Capuano,,Co,ENGROSSED,Representative
155,13,,Carbajal,,Co,ENGROSSED,Representative
156,13,,Clay,,Co,ENGROSSED,Representative
157,13,,Cleaver,,Co,ENGROSSED,Representative
158,13,,Clyburn,,Co,ENGROSSED,Representative
159,13,,Crist,,Co,ENGROSSED,Representative
160,13,,DeFazio,,Co,ENGROSSED,Representative
161,13,,Ellison,,Co,ENGROSSED,Representative
162,13,,Evans,,Co,ENGROSSED,Representative
163,13,,Fudge,,Co,ENGROSSED,Representative
164,13,,Gutiérrez,,Co,ENGROSSED,Representative
165,13,,Hastings,,Co,ENGROSSED,Representative
166,13,,Huffman,,Co,ENGROSSED,Representative
167,13,Jackson,Lee,,Co,ENGROSSED,Representative
168,13,,Jeffries,,Co,ENGROSSED,Representative
169,13,,Lawrence,,Co,ENGROSSED,Representative
170,13,,Lee,,Co,ENGROSSED,Representative
171,13,,Lynch,,Co,ENGROSSED,Representative
172,13,,Meeks,,Co,ENGROSSED,Representative
173,13,,Moore,,Co,ENGROSSED,Representative
174,13,,Norton,,Co,ENGROSSED,Representative
175,13,,Pallone,,Co,ENGROSSED,Representative
176,13,,Payne,,Co,ENGROSSED,Representative
177,13,,Pocan,,Co,ENGROSSED,Representative
178,13,,Quigley,,Co,ENGROSSED,Representative
179,13,,Raskin,,Co,ENGROSSED,Representative
180,13,Blunt,Rochester,,Co,ENGROSSED,Representative
181,13,,Rush,,Co,ENGROSSED,Representative
182,13,,Schakowsky,,Co,ENGROSSED,Representative
