,billid,firstname,lastname,state,primaryorco,billstage,chambername,civid
1248,88,,Schakowsky,,Co,INTRODUCED,Representative,
1249,89,,,,Co,,,
1250,90,,Enzi,,Primary,INTRODUCED,Representative,
1251,90,,Heitkamp,,Co,INTRODUCED,Representative,
1252,90,,Crapo,,Co,INTRODUCED,Representative,
1253,90,,Inhofe,,Co,INTRODUCED,Representative,
1254,90,,Risch,,Co,INTRODUCED,Representative,
1255,90,,Cornyn,,Co,INTRODUCED,Representative,
1256,90,,Tester,,Co,INTRODUCED,Representative,
1257,90,,Lankford,,Co,INTRODUCED,Representative,
1258,90,,Hoeven,,Co,INTRODUCED,Representative,
1259,90,,Barrasso,,Co,INTRODUCED,Representative,
1260,90,,Heinrich,,Co,INTRODUCED,Representative,
1261,90,,Udall,,Co,INTRODUCED,Representative,
1262,90,,Thune,,Co,INTRODUCED,Representative,
1263,90,,Merkley,,Co,INTRODUCED,Representative,
1264,90,,Rounds,,Co,INTRODUCED,Representative,
1265,91,,Velázquez,,Primary,,,
1266,91,,,,Co,,,
1267,92,,Enzi,,Primary,INTRODUCED,Representative,
1268,92,,Heitkamp,,Co,INTRODUCED,Representative,
1269,92,,Crapo,,Co,INTRODUCED,Representative,
1270,92,,Inhofe,,Co,INTRODUCED,Representative,
1271,92,,Risch,,Co,INTRODUCED,Representative,
1272,92,,Cornyn,,Co,INTRODUCED,Representative,
1273,92,,Tester,,Co,INTRODUCED,Representative,
1274,92,,Lankford,,Co,INTRODUCED,Representative,
1275,92,,Hoeven,,Co,INTRODUCED,Representative,
1276,92,,Barrasso,,Co,INTRODUCED,Representative,
1277,92,,Heinrich,,Co,INTRODUCED,Representative,
1278,92,,Udall,,Co,INTRODUCED,Representative,
1279,92,,Thune,,Co,INTRODUCED,Representative,
1280,92,,Merkley,,Co,INTRODUCED,Representative,
1281,92,,Rounds,,Co,INTRODUCED,Representative,
1282,93,,Norton,,Primary,INTRODUCED,Representative,
1283,93,,,,Co,INTRODUCED,Representative,
1284,94,,,,Co,,,
1285,95,,Quigley,,Primary,,,
1286,95,,Kaptur,,Co,,,
1287,95,,Nadler,,Co,,,
1288,95,,Napolitano,,Co,,,
1289,95,,Speier,,Co,,,
1290,95,,Moore,,Co,,,
1291,96,,Richmond,,Primary,INTRODUCED,Representative,
1292,96,,Nadler,,Co,INTRODUCED,Representative,
1293,96,,Clyburn,,Co,INTRODUCED,Representative,
1294,96,,Bass,,Co,INTRODUCED,Representative,
1295,96,,Moore,,Co,INTRODUCED,Representative,
1296,96,,Lawrence,,Co,INTRODUCED,Representative,
1297,96,,Norton,,Co,INTRODUCED,Representative,
1298,96,,Hastings,,Co,INTRODUCED,Representative,
1299,96,,Rush,,Co,INTRODUCED,Representative,
1300,96,Jackson,Lee,,Co,INTRODUCED,Representative,
1301,96,,Cummings,,Co,INTRODUCED,Representative,
1302,96,,Meeks,,Co,INTRODUCED,Representative,
1303,96,,Lee,,Co,INTRODUCED,Representative,
1304,96,,Clay,,Co,INTRODUCED,Representative,
1305,96,,Butterfield,,Co,INTRODUCED,Representative,
1306,96,,Cleaver,,Co,INTRODUCED,Representative,
1307,96,,Ellison,,Co,INTRODUCED,Representative,
1308,96,,Fudge,,Co,INTRODUCED,Representative,
1309,96,,Payne,,Co,INTRODUCED,Representative,
1310,96,,Beatty,,Co,INTRODUCED,Representative,
1311,96,,Jeffries,,Co,INTRODUCED,Representative,
1312,96,,Veasey,,Co,INTRODUCED,Representative,
1313,96,,Adams,,Co,INTRODUCED,Representative,
1314,96,,Plaskett,,Co,INTRODUCED,Representative,
1315,96,Watson,Coleman,,Co,INTRODUCED,Representative,
1316,96,,Evans,,Co,INTRODUCED,Representative,
1317,96,Blunt,Rochester,,Co,INTRODUCED,Representative,
1318,96,,Demings,,Co,INTRODUCED,Representative,
1319,96,,McEachin,,Co,INTRODUCED,Representative,
1320,96,,Delaney,,Co,INTRODUCED,Representative,
1321,96,,Lofgren,,Co,INTRODUCED,Representative,
1322,96,,Pelosi,,Co,INTRODUCED,Representative,
1323,96,,Hoyer,,Co,INTRODUCED,Representative,
1324,96,,Cohen,,Co,INTRODUCED,Representative,
1325,96,,Deutch,,Co,INTRODUCED,Representative,
1326,96,,Gutiérrez,,Co,INTRODUCED,Representative,
1327,96,,Cicilline,,Co,INTRODUCED,Representative,
1328,96,,Raskin,,Co,INTRODUCED,Representative,
1329,96,,Jayapal,,Co,INTRODUCED,Representative,
1330,96,,Schneider,,Co,INTRODUCED,Representative,
1331,96,,Kaptur,,Co,INTRODUCED,Representative,
1332,96,,Levin,,Co,INTRODUCED,Representative,
1333,96,,Pallone,,Co,INTRODUCED,Representative,
1334,96,,Engel,,Co,INTRODUCED,Representative,
1335,96,,Serrano,,Co,INTRODUCED,Representative,
1336,96,,DeLauro,,Co,INTRODUCED,Representative,
1337,96,,Eshoo,,Co,INTRODUCED,Representative,
1338,96,,Velázquez,,Co,INTRODUCED,Representative,
1339,96,,DeGette,,Co,INTRODUCED,Representative,
1340,96,,McGovern,,Co,INTRODUCED,Representative,
1341,96,,Pascrell,,Co,INTRODUCED,Representative,
1342,96,,Sherman,,Co,INTRODUCED,Representative,
1343,96,,Capuano,,Co,INTRODUCED,Representative,
1344,96,,Crowley,,Co,INTRODUCED,Representative,
1345,96,,Napolitano,,Co,INTRODUCED,Representative,
1346,96,,Schakowsky,,Co,INTRODUCED,Representative,
1347,96,,Langevin,,Co,INTRODUCED,Representative,
1348,96,,McCollum,,Co,INTRODUCED,Representative,
1349,96,Wasserman,Schultz,,Co,INTRODUCED,Representative,
1350,96,,Matsui,,Co,INTRODUCED,Representative,
1351,96,,Sires,,Co,INTRODUCED,Representative,
1352,96,,Courtney,,Co,INTRODUCED,Representative,
1353,96,,Perlmutter,,Co,INTRODUCED,Representative,
1354,96,,Welch,,Co,INTRODUCED,Representative,
1355,96,,Yarmuth,,Co,INTRODUCED,Representative,
1356,96,,Connolly,,Co,INTRODUCED,Representative,
1357,96,,Pingree,,Co,INTRODUCED,Representative,
1358,96,,Quigley,,Co,INTRODUCED,Representative,
1359,96,,Garamendi,,Co,INTRODUCED,Representative,
1360,96,,Foster,,Co,INTRODUCED,Representative,
1361,96,,Keating,,Co,INTRODUCED,Representative,
1362,96,,Bonamici,,Co,INTRODUCED,Representative,
1363,96,,Titus,,Co,INTRODUCED,Representative,
1364,96,,Hanabusa,,Co,INTRODUCED,Representative,
1365,96,,Bera,,Co,INTRODUCED,Representative,
1366,96,,Cárdenas,,Co,INTRODUCED,Representative,
1367,96,,Gabbard,,Co,INTRODUCED,Representative,
1368,96,,Huffman,,Co,INTRODUCED,Representative,
1369,96,,Kennedy,,Co,INTRODUCED,Representative,
1370,96,,Kildee,,Co,INTRODUCED,Representative,
1371,96,,Lowenthal,,Co,INTRODUCED,Representative,
1372,96,,Meng,,Co,INTRODUCED,Representative,
1373,96,,ORourke,,Co,INTRODUCED,Representative,
1374,96,,Pocan,,Co,INTRODUCED,Representative,
1375,96,,Vargas,,Co,INTRODUCED,Representative,
1376,96,,Vela,,Co,INTRODUCED,Representative,
1377,96,,DeSaulnier,,Co,INTRODUCED,Representative,
1378,96,,Moulton,,Co,INTRODUCED,Representative,
1379,96,,Barragán,,Co,INTRODUCED,Representative,
1380,96,,Crist,,Co,INTRODUCED,Representative,
1381,96,,Espaillat,,Co,INTRODUCED,Representative,
1382,96,,Khanna,,Co,INTRODUCED,Representative,
1383,96,,Soto,,Co,INTRODUCED,Representative,
1384,96,,Gomez,,Co,INTRODUCED,Representative,
1385,96,,Shea-Porter,,Co,INTRODUCED,Representative,
1386,96,,Tonko,,Co,INTRODUCED,Representative,
1387,96,,Doggett,,Co,INTRODUCED,Representative,
1388,96,,Slaughter,,Co,INTRODUCED,Representative,
1389,96,,Cooper,,Co,INTRODUCED,Representative,
1390,96,,Beyer,,Co,INTRODUCED,Representative,
1391,96,,Lowey,,Co,INTRODUCED,Representative,
1392,96,,Rosen,,Co,INTRODUCED,Representative,
1393,96,,Grijalva,,Co,INTRODUCED,Representative,
1394,96,,Torres,,Co,INTRODUCED,Representative,
1395,96,,Lynch,,Co,INTRODUCED,Representative,
1396,96,,Aguilar,,Co,INTRODUCED,Representative,
1397,96,,Takano,,Co,INTRODUCED,Representative,
1398,96,,Sánchez,,Co,INTRODUCED,Representative,
1399,96,,Speier,,Co,INTRODUCED,Representative,
1400,96,,Sarbanes,,Co,INTRODUCED,Representative,
1401,96,,Schiff,,Co,INTRODUCED,Representative,
1402,96,,Dingell,,Co,INTRODUCED,Representative,
1403,96,,Polis,,Co,INTRODUCED,Representative,
1404,96,,Heck,,Co,INTRODUCED,Representative,
1405,96,,Neal,,Co,INTRODUCED,Representative,
1406,96,,DelBene,,Co,INTRODUCED,Representative,
1407,96,,Ruppersberger,,Co,INTRODUCED,Representative,
1408,96,,Kilmer,,Co,INTRODUCED,Representative,
1409,97,,Palazzo,,Primary,,,
1410,97,,Palmer,,Co,,,
1411,97,,Harper,,Co,,,
1412,98,,,,Co,,,
1413,99,,King,,Primary,,,
1414,99,,Collins,,Co,,,
1415,99,,Warren,,Co,,,
1416,100,,Hastings,,Primary,,,
1417,100,,Norton,,Co,,,
1418,100,,Moore,,Co,,,
1419,101,,Sarbanes,,Primary,INTRODUCED,Representative,
1420,101,,Pelosi,,Co,INTRODUCED,Representative,
1421,101,,Hoyer,,Co,INTRODUCED,Representative,
1422,101,,Clyburn,,Co,INTRODUCED,Representative,
1423,101,,Aguilar,,Co,INTRODUCED,Representative,
1424,101,,Barragán,,Co,INTRODUCED,Representative,
1425,101,,Bera,,Co,INTRODUCED,Representative,
1426,101,,Beyer,,Co,INTRODUCED,Representative,
1427,101,,Blumenauer,,Co,INTRODUCED,Representative,
1428,101,,Bustos,,Co,INTRODUCED,Representative,
1429,101,,Butterfield,,Co,INTRODUCED,Representative,
1430,101,,Capuano,,Co,INTRODUCED,Representative,
1431,101,,Cartwright,,Co,INTRODUCED,Representative,
1432,101,,Cicilline,,Co,INTRODUCED,Representative,
1433,101,,Cleaver,,Co,INTRODUCED,Representative,
1434,101,,Cohen,,Co,INTRODUCED,Representative,
1435,101,,Connolly,,Co,INTRODUCED,Representative,
1436,101,,Courtney,,Co,INTRODUCED,Representative,
1437,101,,Crist,,Co,INTRODUCED,Representative,
1438,101,,Crowley,,Co,INTRODUCED,Representative,
1439,101,,Cummings,,Co,INTRODUCED,Representative,
1440,101,,DeGette,,Co,INTRODUCED,Representative,
1441,101,,Delaney,,Co,INTRODUCED,Representative,
1442,101,,DeLauro,,Co,INTRODUCED,Representative,
1443,101,,DelBene,,Co,INTRODUCED,Representative,
1444,101,,DeSaulnier,,Co,INTRODUCED,Representative,
1445,101,,Deutch,,Co,INTRODUCED,Representative,
1446,101,,Dingell,,Co,INTRODUCED,Representative,
1447,101,,Doggett,,Co,INTRODUCED,Representative,
1448,101,,Ellison,,Co,INTRODUCED,Representative,
1449,101,,Eshoo,,Co,INTRODUCED,Representative,
1450,101,,Espaillat,,Co,INTRODUCED,Representative,
1451,101,,Gallego,,Co,INTRODUCED,Representative,
1452,101,,Garamendi,,Co,INTRODUCED,Representative,
1453,101,,Grijalva,,Co,INTRODUCED,Representative,
1454,101,,Gutiérrez,,Co,INTRODUCED,Representative,
1455,101,,Hanabusa,,Co,INTRODUCED,Representative,
1456,101,,Hastings,,Co,INTRODUCED,Representative,
1457,101,,Heck,,Co,INTRODUCED,Representative,
1458,101,,Norton,,Co,INTRODUCED,Representative,
1459,101,,Huffman,,Co,INTRODUCED,Representative,
1460,101,,Jayapal,,Co,INTRODUCED,Representative,
1461,101,,Jeffries,,Co,INTRODUCED,Representative,
1462,101,,Kaptur,,Co,INTRODUCED,Representative,
1463,101,,Kennedy,,Co,INTRODUCED,Representative,
1464,101,,Khanna,,Co,INTRODUCED,Representative,
1465,101,,Kildee,,Co,INTRODUCED,Representative,
1466,101,,Kilmer,,Co,INTRODUCED,Representative,
1467,101,,Krishnamoorthi,,Co,INTRODUCED,Representative,
1468,101,,Clay,,Co,INTRODUCED,Representative,
1469,101,,Langevin,,Co,INTRODUCED,Representative,
1470,101,,Lee,,Co,INTRODUCED,Representative,
1471,101,,Levin,,Co,INTRODUCED,Representative,
1472,101,,Loebsack,,Co,INTRODUCED,Representative,
1473,101,,Lofgren,,Co,INTRODUCED,Representative,
1474,101,,Lowenthal,,Co,INTRODUCED,Representative,
1475,101,,Lynch,,Co,INTRODUCED,Representative,
1476,101,,Matsui,,Co,INTRODUCED,Representative,
1477,101,,McCollum,,Co,INTRODUCED,Representative,
1478,101,,McEachin,,Co,INTRODUCED,Representative,
1479,101,,McGovern,,Co,INTRODUCED,Representative,
1480,101,,McNerney,,Co,INTRODUCED,Representative,
1481,101,,Meeks,,Co,INTRODUCED,Representative,
1482,101,,Moulton,,Co,INTRODUCED,Representative,
1483,101,,Nadler,,Co,INTRODUCED,Representative,
1484,101,,Napolitano,,Co,INTRODUCED,Representative,
1485,101,,Nolan,,Co,INTRODUCED,Representative,
1486,101,,Norcross,,Co,INTRODUCED,Representative,
1487,101,,OHalleran,,Co,INTRODUCED,Representative,
1488,101,,ORourke,,Co,INTRODUCED,Representative,
1489,101,,Pallone,,Co,INTRODUCED,Representative,
1490,101,,Pascrell,,Co,INTRODUCED,Representative,
1491,101,,Perlmutter,,Co,INTRODUCED,Representative,
1492,101,,Pingree,,Co,INTRODUCED,Representative,
1493,101,,Pocan,,Co,INTRODUCED,Representative,
1494,101,,Polis,,Co,INTRODUCED,Representative,
1495,101,,Quigley,,Co,INTRODUCED,Representative,
1496,101,,Raskin,,Co,INTRODUCED,Representative,
1497,101,,Roybal-Allard,,Co,INTRODUCED,Representative,
1498,101,,Ruppersberger,,Co,INTRODUCED,Representative,
1499,101,,Sánchez,,Co,INTRODUCED,Representative,
1500,101,,Schakowsky,,Co,INTRODUCED,Representative,
1501,101,,Schiff,,Co,INTRODUCED,Representative,
1502,101,,Schneider,,Co,INTRODUCED,Representative,
1503,101,,Serrano,,Co,INTRODUCED,Representative,
1504,101,,Shea-Porter,,Co,INTRODUCED,Representative,
1505,101,,Sherman,,Co,INTRODUCED,Representative,
1506,101,,Sires,,Co,INTRODUCED,Representative,
1507,101,,Soto,,Co,INTRODUCED,Representative,
1508,101,,Speier,,Co,INTRODUCED,Representative,
1509,101,,Takano,,Co,INTRODUCED,Representative,
1510,101,,Titus,,Co,INTRODUCED,Representative,
1511,101,,Tonko,,Co,INTRODUCED,Representative,
1512,101,,Tsongas,,Co,INTRODUCED,Representative,
1513,101,,Vargas,,Co,INTRODUCED,Representative,
1514,101,,Velázquez,,Co,INTRODUCED,Representative,
1515,101,,Walz,,Co,INTRODUCED,Representative,
1516,101,Wasserman,Schultz,,Co,INTRODUCED,Representative,
1517,101,Watson,Coleman,,Co,INTRODUCED,Representative,
1518,101,,Welch,,Co,INTRODUCED,Representative,
1519,101,,Yarmuth,,Co,INTRODUCED,Representative,
1520,101,Blunt,Rochester,,Co,INTRODUCED,Representative,
1521,101,,Bonamici,,Co,INTRODUCED,Representative,
1522,101,,Veasey,,Co,INTRODUCED,Representative,
1523,101,,DeFazio,,Co,INTRODUCED,Representative,
1524,101,Jackson,Lee,,Co,INTRODUCED,Representative,
1525,101,,Payne,,Co,INTRODUCED,Representative,
1526,101,,Lowey,,Co,INTRODUCED,Representative,
1527,101,,Vela,,Co,INTRODUCED,Representative,
1528,101,,Engel,,Co,INTRODUCED,Representative,
1529,101,,Bass,,Co,INTRODUCED,Representative,
1530,101,,Rosen,,Co,INTRODUCED,Representative,
1531,101,,Costa,,Co,INTRODUCED,Representative,
1532,101,,Peters,,Co,INTRODUCED,Representative,
1533,101,,Meng,,Co,INTRODUCED,Representative,
1534,101,,Rush,,Co,INTRODUCED,Representative,
1535,101,,Kihuen,,Co,INTRODUCED,Representative,
1536,101,,Ruiz,,Co,INTRODUCED,Representative,
1537,101,,Moore,,Co,INTRODUCED,Representative,
1538,101,,Carbajal,,Co,INTRODUCED,Representative,
1539,101,,Foster,,Co,INTRODUCED,Representative,
1540,102,,Zeldin,,Primary,INTRODUCED,Senator,
1541,102,,Fitzpatrick,,Co,INTRODUCED,Senator,
1542,102,,Suozzi,,Co,INTRODUCED,Senator,
1543,103,,Hatch,,Primary,INTRODUCED,Senator,
1544,103,,,,Co,INTRODUCED,Senator,
1545,104,,Nelson,,Primary,INTRODUCED,Representative,
1546,104,,Rubio,,Co,INTRODUCED,Representative,
1547,105,,,,Co,INTRODUCED,Senator,
1548,106,,Leahy,,Primary,INTRODUCED,Representative,
1549,106,,Daines,,Co,INTRODUCED,Representative,
1550,107,,Velázquez,,Primary,INTRODUCED,Representative,
1551,107,,,,Co,INTRODUCED,Representative,
1552,108,,Clay,,Primary,,,
1553,108,,Adams,,Co,,,
1554,108,,Bass,,Co,,,
1555,108,,Beatty,,Co,,,
1556,108,,Beyer,,Co,,,
1557,108,,Butterfield,,Co,,,
1558,108,,Clyburn,,Co,,,
1559,108,,Cohen,,Co,,,
1560,108,,Connolly,,Co,,,
1561,108,,Conyers,,Co,,,
1562,108,,Cummings,,Co,,,
1563,108,,DeLauro,,Co,,,
1564,108,,Dingell,,Co,,,
1565,108,,Fudge,,Co,,,
1566,108,,Gallego,,Co,,,
1567,108,,Grijalva,,Co,,,
1568,108,,Hastings,,Co,,,
1569,108,,Norton,,Co,,,
1570,108,,Hoyer,,Co,,,
1571,108,Jackson,Lee,,Co,,,
1572,108,,Jeffries,,Co,,,
1573,108,,Lee,,Co,,,
1574,108,,Lowenthal,,Co,,,
1575,108,,McGovern,,Co,,,
1576,108,,Meeks,,Co,,,
1577,108,,Moore,,Co,,,
1578,108,,Nadler,,Co,,,
1579,108,,Napolitano,,Co,,,
1580,108,,Payne,,Co,,,
1581,108,,Pocan,,Co,,,
1582,108,,Polis,,Co,,,
1583,108,,Richmond,,Co,,,
1584,108,,Rush,,Co,,,
1585,108,,Serrano,,Co,,,
1586,108,,Torres,,Co,,,
1587,108,,Turner,,Co,,,
1588,108,,Vargas,,Co,,,
1589,108,,Veasey,,Co,,,
1590,108,,McCollum,,Co,,,
1591,108,,Huffman,,Co,,,
1592,108,,Sablan,,Co,,,
1593,108,,Cartwright,,Co,,,
1594,108,,Ross,,Co,,,
1595,108,,Tsongas,,Co,,,
1596,108,Wasserman,Schultz,,Co,,,
1597,108,,Ruiz,,Co,,,
1598,108,,Peters,,Co,,,
1599,108,,Plaskett,,Co,,,
1600,108,,Evans,,Co,,,
1601,108,,Raskin,,Co,,,
1602,108,,Demings,,Co,,,
1603,108,,Lofgren,,Co,,,
1604,109,,Bacon,,Primary,,,
1605,109,,Fortenberry,,Co,,,
1606,110,,Raskin,,Co,,,
1607,110,,Jayapal,,Co,,,
1608,110,,Vargas,,Co,,,
1609,110,,Grijalva,,Co,,,
1610,110,,Lofgren,,Co,,,
1611,110,,Soto,,Co,,,
1612,110,,Velázquez,,Co,,,
1613,110,,Cohen,,Co,,,
1614,110,,Conyers,,Co,,,
1615,110,,Speier,,Co,,,
1616,110,,McCollum,,Co,,,
1617,110,,Bass,,Co,,,
1618,111,,Norton,,Primary,,,
1619,111,,,,Co,,,
1620,112,Jackson,Lee,,Primary,,,
1621,112,,Nadler,,Co,,,
1622,112,,Beatty,,Co,,,
1623,112,,Khanna,,Co,,,
1624,112,,Jayapal,,Co,,,
1625,112,,Vela,,Co,,,
1626,112,,McGovern,,Co,,,
1627,112,,Pallone,,Co,,,
1628,112,,Veasey,,Co,,,
1629,112,,Moore,,Co,,,
1630,112,,Richmond,,Co,,,
1631,112,,Clay,,Co,,,
1632,112,,Demings,,Co,,,
1633,112,,Hastings,,Co,,,
1634,112,,Payne,,Co,,,
1635,112,,Norton,,Co,,,
1636,112,,Cohen,,Co,,,
1637,112,,Fudge,,Co,,,
1638,112,,Ellison,,Co,,,
1639,112,,Lee,,Co,,,
1640,112,,Rush,,Co,,,
1641,112,,Butterfield,,Co,,,
1642,112,,Bass,,Co,,,
1643,112,Watson,Coleman,,Co,,,
1644,112,,Plaskett,,Co,,,
1645,112,,Cleaver,,Co,,,
1646,112,,Evans,,Co,,,
1647,112,,McEachin,,Co,,,
1648,112,,Espaillat,,Co,,,
1649,112,,Cummings,,Co,,,
1650,112,,Meeks,,Co,,,
1651,112,,Lawrence,,Co,,,
1652,112,,Adams,,Co,,,
1653,112,,Jeffries,,Co,,,
1654,112,,Clyburn,,Co,,,
1655,112,,Soto,,Co,,,
1656,112,Blunt,Rochester,,Co,,,
1657,113,,Wicker,,Primary,ENGROSSED,Senator,
1658,113,,Gillibrand,,Co,ENGROSSED,Senator,
1659,113,,Baldwin,,Co,ENGROSSED,Senator,
1660,113,,Bennet,,Co,ENGROSSED,Senator,
1661,113,,Blumenthal,,Co,ENGROSSED,Senator,
1662,113,,Booker,,Co,ENGROSSED,Senator,
1663,113,,Brown,,Co,ENGROSSED,Senator,
1664,113,,Cantwell,,Co,ENGROSSED,Senator,
1665,113,,Cardin,,Co,ENGROSSED,Senator,
1666,113,,Carper,,Co,ENGROSSED,Senator,
1667,113,,Coons,,Co,ENGROSSED,Senator,
1668,113,,Cornyn,,Co,ENGROSSED,Senator,
1669,113,Cortez,Masto,,Co,ENGROSSED,Senator,
1670,113,,Donnelly,,Co,ENGROSSED,Senator,
1671,113,,Durbin,,Co,ENGROSSED,Senator,
1672,113,,Feinstein,,Co,ENGROSSED,Senator,
1673,113,,Grassley,,Co,ENGROSSED,Senator,
1674,113,,Harris,,Co,ENGROSSED,Senator,
1675,113,,Hassan,,Co,ENGROSSED,Senator,
1676,113,,Hatch,,Co,ENGROSSED,Senator,
1677,113,,Heller,,Co,ENGROSSED,Senator,
1678,113,,Hirono,,Co,ENGROSSED,Senator,
1679,113,,Jones,,Co,ENGROSSED,Senator,
1680,113,,Kaine,,Co,ENGROSSED,Senator,
1681,113,,King,,Co,ENGROSSED,Senator,
1682,113,,Klobuchar,,Co,ENGROSSED,Senator,
1683,113,,Lee,,Co,ENGROSSED,Senator,
1684,113,,Murkowski,,Co,ENGROSSED,Senator,
1685,113,,Murphy,,Co,ENGROSSED,Senator,
1686,113,,Murray,,Co,ENGROSSED,Senator,
1687,113,,Nelson,,Co,ENGROSSED,Senator,
1688,113,,Paul,,Co,ENGROSSED,Senator,
1689,113,,Perdue,,Co,ENGROSSED,Senator,
1690,113,,Peters,,Co,ENGROSSED,Senator,
1691,113,,Portman,,Co,ENGROSSED,Senator,
1692,113,,Rubio,,Co,ENGROSSED,Senator,
1693,113,,Schumer,,Co,ENGROSSED,Senator,
1694,113,,Scott,,Co,ENGROSSED,Senator,
1695,113,,Smith,,Co,ENGROSSED,Senator,
1696,113,,Stabenow,,Co,ENGROSSED,Senator,
1697,113,,Tillis,,Co,ENGROSSED,Senator,
1698,113,Van,Hollen,,Co,ENGROSSED,Senator,6
1699,113,,Warner,,Co,ENGROSSED,Senator,
1700,113,,Warren,,Co,ENGROSSED,Senator,
1701,113,,Whitehouse,,Co,ENGROSSED,Senator,
1702,113,,Wyden,,Co,ENGROSSED,Senator,
1703,113,,Young,,Co,ENGROSSED,Senator,
1704,113,,Cruz,,Co,ENGROSSED,Senator,
1705,114,,,,Primary,INTRODUCED,Representative,
1706,114,,,,Co,INTRODUCED,Representative,
1707,115,,Gabbard,,Primary,,,
1708,115,,Soto,,Co,,,
1709,115,,ORourke,,Co,,,
1710,115,,Blumenauer,,Co,,,
1711,115,,Rohrabacher,,Co,,,
1712,115,,Gaetz,,Co,,,
1713,115,,DeFazio,,Co,,,
1714,115,,Norton,,Co,,,
1715,115,,Titus,,Co,,,
1716,115,,Crist,,Co,,,
1717,115,,Garrett,,Co,,,
1718,115,,Correa,,Co,,,
1719,115,,Lee,,Co,,,
1720,115,,Pocan,,Co,,,
1721,115,,Carbajal,,Co,,,
1722,115,,Quigley,,Co,,,
1723,115,,Jayapal,,Co,,,
1724,115,,Hanabusa,,Co,,,
1725,115,,Raskin,,Co,,,
1726,115,,Polis,,Co,,,
1727,115,,Schakowsky,,Co,,,
1728,115,,Cohen,,Co,,,
1729,116,,Tillis,,Primary,INTRODUCED,Senator,
1730,116,,,,Co,INTRODUCED,Senator,
1731,117,,Young,,Primary,INTRODUCED,Representative,
1732,117,,,,Co,INTRODUCED,Representative,
1733,118,Jackson,Lee,,Primary,INTRODUCED,Representative,
1734,118,,Raskin,,Co,INTRODUCED,Representative,
1735,119,,Crowley,,Primary,INTRODUCED,Senator,
1736,119,,,,Co,INTRODUCED,Senator,
1737,120,,Gillibrand,,Primary,REPORTED,Senator,
1738,120,,Merkley,,Co,REPORTED,Senator,
1739,120,,Warren,,Co,REPORTED,Senator,
1740,120,,Udall,,Co,REPORTED,Senator,
1741,121,,Alexander,,Primary,,,
1742,121,,,,Co,,,
1743,122,,Harris,,Primary,,,
1744,122,,Stabenow,,Co,,,
1745,122,,Feinstein,,Co,,,
1746,122,,Murray,,Co,,,
1747,122,,Gillibrand,,Co,,,
1748,122,,Hirono,,Co,,,
1749,122,,Warren,,Co,,,
1750,122,,Baldwin,,Co,,,
1751,122,,Booker,,Co,,,
1752,122,,Merkley,,Co,,,
1753,122,,Wyden,,Co,,,
1754,122,,Blumenthal,,Co,,,
1755,123,,Blunt,,Primary,,,
1756,123,,Nelson,,Co,,,
1757,124,Jackson,Lee,,Primary,INTRODUCED,Representative,
1758,124,,Hastings,,Co,INTRODUCED,Representative,
1759,124,,Veasey,,Co,INTRODUCED,Representative,
1760,124,,Norton,,Co,INTRODUCED,Representative,
1761,124,,Moore,,Co,INTRODUCED,Representative,
1762,124,,Connolly,,Co,INTRODUCED,Representative,
1763,124,,Butterfield,,Co,INTRODUCED,Representative,
1764,124,,Deutch,,Co,INTRODUCED,Representative,
1765,124,,Gutiérrez,,Co,INTRODUCED,Representative,
1766,124,,Cohen,,Co,INTRODUCED,Representative,
1767,124,,Kildee,,Co,INTRODUCED,Representative,
1768,124,,Meeks,,Co,INTRODUCED,Representative,
1769,124,,Pocan,,Co,INTRODUCED,Representative,
1770,124,,Pallone,,Co,INTRODUCED,Representative,
1771,124,,Vela,,Co,INTRODUCED,Representative,
1772,124,,Beatty,,Co,INTRODUCED,Representative,
1773,124,,Jeffries,,Co,INTRODUCED,Representative,
1774,124,,Engel,,Co,INTRODUCED,Representative,
1775,124,,Rush,,Co,INTRODUCED,Representative,
1776,124,,McCollum,,Co,INTRODUCED,Representative,
1777,124,,Richmond,,Co,INTRODUCED,Representative,
1778,124,,Conyers,,Co,INTRODUCED,Representative,
1779,124,,Walz,,Co,INTRODUCED,Representative,
1780,124,,Demings,,Co,INTRODUCED,Representative,
1781,124,,Lee,,Co,INTRODUCED,Representative,
1782,124,,Ellison,,Co,INTRODUCED,Representative,
1783,124,,Payne,,Co,INTRODUCED,Representative,
1784,124,,Clay,,Co,INTRODUCED,Representative,
1785,124,,Adams,,Co,INTRODUCED,Representative,
1786,124,,Evans,,Co,INTRODUCED,Representative,
1787,124,,Torres,,Co,INTRODUCED,Representative,
1788,124,,Lofgren,,Co,INTRODUCED,Representative,
1789,124,,McEachin,,Co,INTRODUCED,Representative,
1790,124,,Cummings,,Co,INTRODUCED,Representative,
1791,124,,Levin,,Co,INTRODUCED,Representative,
1792,124,,Lawrence,,Co,INTRODUCED,Representative,
1793,124,,Grijalva,,Co,INTRODUCED,Representative,
1794,124,,Vargas,,Co,INTRODUCED,Representative,
1795,125,,Speier,,Primary,,,
1796,125,,Fitzpatrick,,Co,,,
1797,126,,DeFazio,,Primary,,,
1798,126,,Courtney,,Co,,,
1799,126,,Blumenauer,,Co,,,
1800,126,,Bonamici,,Co,,,
1801,126,,Garamendi,,Co,,,
1802,126,,Ellison,,Co,,,
1803,126,,Norton,,Co,,,
1804,126,,Polis,,Co,,,
