billid,firstname,lastname,state,primaryorco
17,nan,Schakowsky,nan,Primary
17,Wasserman,Schultz,nan,Co
17,Jackson,Lee,nan,Co
17,Watson,Coleman,nan,Co
17,nan,Quigley,nan,Co
17,nan,Rush,nan,Co
17,nan,Lawrence,nan,Co
17,nan,Foster,nan,Co
17,nan,Moulton,nan,Co
18,nan,Nadler,nan,Co
18,nan,Pelosi,nan,Co
18,nan,Hoyer,nan,Co
18,nan,Clyburn,nan,Co
18,nan,Richmond,nan,Co
18,nan,Takano,nan,Co
18,Watson,Coleman,nan,Co
18,nan,Butterfield,nan,Co
18,nan,Grijalva,nan,Co
18,nan,Soto,nan,Co
19,nan,Duckworth,nan,Primary
19,nan,Harris,nan,Co
19,nan,Shaheen,nan,Co
19,Van,Hollen,nan,Co
19,nan,Warren,nan,Co
19,nan,Durbin,nan,Co
19,nan,Heitkamp,nan,Co
19,nan,Baldwin,nan,Co
19,nan,Stabenow,nan,Co
19,nan,Hassan,nan,Co
19,nan,King,nan,Co
19,nan,Brown,nan,Co
19,nan,Cantwell,nan,Co
19,nan,Blumenthal,nan,Co
19,nan,Markey,nan,Co
19,nan,Feinstein,nan,Co
19,nan,Hirono,nan,Co
19,nan,Murray,nan,Co
19,nan,Nelson,nan,Co
20,nan,Duffy,nan,Primary
20,nan,nan,nan,Co
21,nan,Sanders,nan,Primary
21,nan,nan,nan,Co
22,nan,Cicilline,nan,Primary
22,nan,Bustos,nan,Co
22,nan,Cartwright,nan,Co
22,nan,Crowley,nan,Co
22,nan,Correa,nan,Co
22,nan,Evans,nan,Co
22,nan,Blumenauer,nan,Co
22,Wasserman,Schultz,nan,Co
22,nan,Beyer,nan,Co
22,Blunt,Rochester,nan,Co
22,nan,Peters,nan,Co
22,nan,Lawrence,nan,Co
22,nan,Gallego,nan,Co
22,nan,Aguilar,nan,Co
22,nan,Foster,nan,Co
22,nan,Himes,nan,Co
22,nan,Levin,nan,Co
22,nan,Meng,nan,Co
22,nan,Ruiz,nan,Co
22,nan,Barragán,nan,Co
22,nan,ORourke,nan,Co
22,nan,Lofgren,nan,Co
22,nan,Huffman,nan,Co
22,nan,Moulton,nan,Co
22,nan,Perlmutter,nan,Co
22,nan,Capuano,nan,Co
22,nan,Pocan,nan,Co
22,nan,Soto,nan,Co
22,nan,Bera,nan,Co
22,nan,Schneider,nan,Co
22,nan,Gabbard,nan,Co
22,nan,Kind,nan,Co
22,nan,Takano,nan,Co
22,nan,Cárdenas,nan,Co
22,nan,Grijalva,nan,Co
22,nan,Veasey,nan,Co
22,nan,Kilmer,nan,Co
22,nan,Loebsack,nan,Co
22,nan,Shea-Porter,nan,Co
22,nan,Norcross,nan,Co
22,Watson,Coleman,nan,Co
22,nan,Cooper,nan,Co
22,nan,Vargas,nan,Co
22,nan,Jeffries,nan,Co
22,nan,Napolitano,nan,Co
22,nan,Espaillat,nan,Co
22,nan,Delaney,nan,Co
22,nan,Hoyer,nan,Co
22,nan,Torres,nan,Co
22,nan,Tsongas,nan,Co
22,nan,Sinema,nan,Co
22,nan,Polis,nan,Co
22,nan,DeSaulnier,nan,Co
22,nan,Dingell,nan,Co
22,nan,Lowenthal,nan,Co
22,nan,OHalleran,nan,Co
22,nan,Yarmuth,nan,Co
22,nan,Payne,nan,Co
22,nan,Beatty,nan,Co
22,nan,Carbajal,nan,Co
22,nan,Gottheimer,nan,Co
22,nan,Adams,nan,Co
22,nan,Suozzi,nan,Co
22,nan,Kildee,nan,Co
22,nan,Panetta,nan,Co
22,nan,Pelosi,nan,Co
22,nan,Pallone,nan,Co
22,nan,Demings,nan,Co
22,nan,Eshoo,nan,Co
22,nan,Kihuen,nan,Co
22,nan,McEachin,nan,Co
22,nan,Jayapal,nan,Co
22,nan,Neal,nan,Co
22,nan,Rosen,nan,Co
22,nan,Hanabusa,nan,Co
22,nan,Heck,nan,Co
22,nan,Crist,nan,Co
22,nan,Raskin,nan,Co
22,nan,Kennedy,nan,Co
22,nan,Vela,nan,Co
22,nan,Langevin,nan,Co
22,nan,Butterfield,nan,Co
22,nan,Costa,nan,Co
22,nan,Roybal-Allard,nan,Co
22,nan,Nadler,nan,Co
22,nan,DeGette,nan,Co
22,nan,DeFazio,nan,Co
22,nan,Norton,nan,Co
22,nan,Pingree,nan,Co
22,nan,Cummings,nan,Co
22,nan,Sherman,nan,Co
22,nan,Kaptur,nan,Co
22,Jackson,Lee,nan,Co
22,nan,Rush,nan,Co
22,nan,Peterson,nan,Co
22,nan,Ros-Lehtinen,nan,Co
22,nan,Meeks,nan,Co
22,nan,Connolly,nan,Co
22,nan,Bass,nan,Co
22,nan,Moore,nan,Co
22,nan,McCollum,nan,Co
22,nan,Ellison,nan,Co
22,nan,McNerney,nan,Co
22,nan,Lee,nan,Co
22,nan,Lynch,nan,Co
22,nan,Velázquez,nan,Co
22,nan,Welch,nan,Co
22,nan,Doggett,nan,Co
22,nan,Matsui,nan,Co
22,nan,Walz,nan,Co
22,nan,Visclosky,nan,Co
22,nan,Sánchez,nan,Co
22,nan,Cleaver,nan,Co
22,nan,Sires,nan,Co
22,nan,Courtney,nan,Co
22,nan,Keating,nan,Co
22,nan,Hastings,nan,Co
22,nan,Serrano,nan,Co
22,nan,Lowey,nan,Co
22,nan,Nolan,nan,Co
22,nan,Schakowsky,nan,Co
22,nan,Pascrell,nan,Co
22,nan,Schiff,nan,Co
22,nan,Cohen,nan,Co
22,nan,Gutiérrez,nan,Co
22,nan,Sablan,nan,Co
22,nan,DeLauro,nan,Co
22,nan,Ruppersberger,nan,Co
22,nan,Conyers,nan,Co
22,nan,Clay,nan,Co
22,nan,Schrader,nan,Co
22,nan,Garamendi,nan,Co
22,nan,Bordallo,nan,Co
22,nan,DelBene,nan,Co
22,nan,Sarbanes,nan,Co
22,nan,Deutch,nan,Co
22,nan,Quigley,nan,Co
22,nan,Engel,nan,Co
22,nan,Tonko,nan,Co
22,nan,Titus,nan,Co
22,nan,Speier,nan,Co
22,nan,Slaughter,nan,Co
22,nan,Clyburn,nan,Co
22,nan,Cuellar,nan,Co
22,nan,Bonamici,nan,Co
22,nan,Khanna,nan,Co
22,nan,Krishnamoorthi,nan,Co
22,nan,Plaskett,nan,Co
22,nan,Richmond,nan,Co
23,nan,Beyer,nan,Primary
23,nan,Dingell,nan,Co
23,nan,Cicilline,nan,Co
23,nan,Tonko,nan,Co
23,nan,Kind,nan,Co
23,nan,Cárdenas,nan,Co
23,nan,Butterfield,nan,Co
23,nan,Schakowsky,nan,Co
23,nan,Keating,nan,Co
23,nan,Norton,nan,Co
23,nan,Jeffries,nan,Co
24,nan,Merkley,nan,Primary
24,nan,Baldwin,nan,Co
24,nan,Booker,nan,Co
24,nan,Bennet,nan,Co
24,nan,Blumenthal,nan,Co
24,nan,Brown,nan,Co
24,nan,Cantwell,nan,Co
24,nan,Cardin,nan,Co
24,nan,Carper,nan,Co
24,nan,Casey,nan,Co
24,nan,Coons,nan,Co
24,Cortez,Masto,nan,Co
24,nan,Duckworth,nan,Co
24,nan,Durbin,nan,Co
24,nan,Feinstein,nan,Co
24,nan,Franken,nan,Co
24,nan,Gillibrand,nan,Co
24,nan,Harris,nan,Co
24,nan,Hassan,nan,Co
24,nan,Heinrich,nan,Co
24,nan,Heitkamp,nan,Co
24,nan,Hirono,nan,Co
24,nan,Kaine,nan,Co
24,nan,King,nan,Co
24,nan,Klobuchar,nan,Co
24,nan,Leahy,nan,Co
24,nan,Markey,nan,Co
24,nan,McCaskill,nan,Co
24,nan,Menendez,nan,Co
24,nan,Murphy,nan,Co
24,nan,Murray,nan,Co
24,nan,Nelson,nan,Co
24,nan,Peters,nan,Co
24,nan,Reed,nan,Co
24,nan,Sanders,nan,Co
24,nan,Schatz,nan,Co
24,nan,Schumer,nan,Co
24,nan,Shaheen,nan,Co
24,nan,Stabenow,nan,Co
24,nan,Tester,nan,Co
24,nan,Udall,nan,Co
24,Van,Hollen,nan,Co
24,nan,Warner,nan,Co
24,nan,Warren,nan,Co
24,nan,Whitehouse,nan,Co
24,nan,Wyden,nan,Co
25,nan,Blumenthal,nan,Primary
25,nan,Sanders,nan,Co
25,nan,Markey,nan,Co
25,nan,Durbin,nan,Co
25,nan,Merkley,nan,Co
25,nan,Kaine,nan,Co
25,nan,Baldwin,nan,Co
25,nan,Wyden,nan,Co
25,nan,Hirono,nan,Co
26,nan,nan,nan,Co
27,Watson,Coleman,nan,Primary
27,nan,Aguilar,nan,Co
27,nan,Blumenauer,nan,Co
27,nan,Carbajal,nan,Co
27,nan,Cicilline,nan,Co
27,nan,Cohen,nan,Co
27,nan,Conyers,nan,Co
27,nan,Ellison,nan,Co
27,nan,Evans,nan,Co
27,nan,Garamendi,nan,Co
27,nan,Grijalva,nan,Co
27,nan,Hanabusa,nan,Co
27,nan,Jayapal,nan,Co
27,nan,Khanna,nan,Co
27,nan,Kildee,nan,Co
27,nan,Lee,nan,Co
27,Jackson,Lee,nan,Co
27,nan,Levin,nan,Co
27,nan,McCollum,nan,Co
27,nan,McGovern,nan,Co
27,nan,Moore,nan,Co
27,nan,Moulton,nan,Co
27,nan,Nadler,nan,Co
27,nan,Napolitano,nan,Co
27,nan,Norton,nan,Co
27,nan,Pallone,nan,Co
27,nan,Payne,nan,Co
27,nan,Peters,nan,Co
27,nan,Pocan,nan,Co
27,nan,Polis,nan,Co
27,nan,Schakowsky,nan,Co
27,nan,Serrano,nan,Co
27,nan,Speier,nan,Co
27,nan,Takano,nan,Co
27,nan,Tonko,nan,Co
27,nan,Velázquez,nan,Co
27,nan,Lofgren,nan,Co
28,nan,Cummings,nan,Primary
28,nan,Meng,nan,Co
28,nan,Norton,nan,Co
29,nan,Taylor,nan,Primary
29,nan,Schneider,nan,Co
30,nan,Sensenbrenner,nan,Primary
30,nan,Gallego,nan,Co
30,nan,Moore,nan,Co
30,nan,Dingell,nan,Co
30,nan,Sherman,nan,Co
30,nan,Kaptur,nan,Co
30,Watson,Coleman,nan,Co
30,nan,Lipinski,nan,Co
30,nan,Hultgren,nan,Co
30,nan,DeFazio,nan,Co
30,nan,Kind,nan,Co
30,nan,Messer,nan,Co
30,nan,Pallone,nan,Co
30,nan,McGovern,nan,Co
30,nan,Hastings,nan,Co
30,nan,Heck,nan,Co
30,nan,LoBiondo,nan,Co
30,nan,Conyers,nan,Co
30,nan,Cummings,nan,Co
30,nan,Kildee,nan,Co
30,nan,Foster,nan,Co
30,nan,Veasey,nan,Co
30,nan,Norton,nan,Co
30,nan,Sinema,nan,Co
30,nan,Cohen,nan,Co
30,nan,Beatty,nan,Co
30,nan,Garamendi,nan,Co
30,nan,Connolly,nan,Co
30,nan,Payne,nan,Co
30,nan,Cooper,nan,Co
30,nan,Fitzpatrick,nan,Co
30,nan,DeGette,nan,Co
30,nan,Delaney,nan,Co
30,nan,Rush,nan,Co
30,nan,Ruppersberger,nan,Co
30,nan,Cicilline,nan,Co
30,nan,Cole,nan,Co
30,nan,Nadler,nan,Co
30,Jackson,Lee,nan,Co
30,nan,Peters,nan,Co
30,nan,Cartwright,nan,Co
30,nan,Meeks,nan,Co
30,nan,Slaughter,nan,Co
30,nan,Huffman,nan,Co
30,nan,Clyburn,nan,Co
30,nan,Pingree,nan,Co
30,nan,Schiff,nan,Co
30,nan,Langevin,nan,Co
30,nan,Bonamici,nan,Co
31,nan,Kaine,nan,Primary
31,Van,Hollen,nan,Co
31,nan,Baldwin,nan,Co
31,nan,Warren,nan,Co
31,nan,Hassan,nan,Co
31,nan,Leahy,nan,Co
31,nan,Gillibrand,nan,Co
31,nan,Wyden,nan,Co
31,nan,Markey,nan,Co
31,nan,Franken,nan,Co
31,nan,Merkley,nan,Co
31,nan,Booker,nan,Co
31,nan,Blumenthal,nan,Co
31,Cortez,Masto,nan,Co
31,nan,Brown,nan,Co
32,nan,Murray,nan,Primary
32,nan,Blumenthal,nan,Co
32,nan,Booker,nan,Co
32,nan,Duckworth,nan,Co
32,nan,Franken,nan,Co
32,nan,Gillibrand,nan,Co
32,nan,Hassan,nan,Co
32,nan,Hirono,nan,Co
32,nan,Markey,nan,Co
32,nan,Menendez,nan,Co
32,nan,Merkley,nan,Co
32,nan,Shaheen,nan,Co
32,nan,Warren,nan,Co
32,nan,Wyden,nan,Co
33,nan,Gottheimer,nan,Primary
33,nan,Jeffries,nan,Co
33,nan,Blumenauer,nan,Co
33,nan,Schakowsky,nan,Co
33,nan,Tsongas,nan,Co
33,Wasserman,Schultz,nan,Co
33,nan,Peters,nan,Co
33,nan,Grijalva,nan,Co
33,nan,Delaney,nan,Co
33,nan,Polis,nan,Co
33,nan,Cicilline,nan,Co
33,nan,Sherman,nan,Co
33,nan,Connolly,nan,Co
33,nan,Speier,nan,Co
33,nan,Norton,nan,Co
33,nan,Cárdenas,nan,Co
33,nan,Capuano,nan,Co
33,nan,DelBene,nan,Co
33,Watson,Coleman,nan,Co
33,nan,Lee,nan,Co
33,nan,Langevin,nan,Co
33,nan,Pingree,nan,Co
33,nan,Himes,nan,Co
33,nan,Adams,nan,Co
33,nan,Pocan,nan,Co
33,nan,Nadler,nan,Co
33,nan,Lowenthal,nan,Co
33,nan,Crowley,nan,Co
33,nan,Lowey,nan,Co
33,nan,Quigley,nan,Co
33,nan,Takano,nan,Co
33,nan,Pascrell,nan,Co
33,nan,Kildee,nan,Co
33,nan,Meng,nan,Co
33,nan,Schneider,nan,Co
33,nan,Crist,nan,Co
33,nan,Coffman,nan,Co
34,nan,Love,nan,Co
34,Jackson,Lee,nan,Co
35,nan,Harris,nan,Primary
35,nan,Paul,nan,Co
36,nan,DeSaulnier,nan,Primary
36,nan,Lee,nan,Co
37,nan,nan,nan,Co
38,nan,Leahy,nan,Primary
38,nan,Durbin,nan,Co
38,nan,Baldwin,nan,Co
38,nan,Bennet,nan,Co
38,nan,Blumenthal,nan,Co
38,nan,Booker,nan,Co
38,nan,Brown,nan,Co
38,nan,Cantwell,nan,Co
38,nan,Cardin,nan,Co
38,nan,Carper,nan,Co
38,nan,Casey,nan,Co
38,nan,Coons,nan,Co
38,Cortez,Masto,nan,Co
38,nan,Donnelly,nan,Co
38,nan,Duckworth,nan,Co
38,nan,Feinstein,nan,Co
38,nan,Franken,nan,Co
38,nan,Gillibrand,nan,Co
38,nan,Harris,nan,Co
38,nan,Hassan,nan,Co
38,nan,Heinrich,nan,Co
38,nan,Heitkamp,nan,Co
38,nan,Hirono,nan,Co
38,nan,Kaine,nan,Co
38,nan,King,nan,Co
38,nan,Klobuchar,nan,Co
38,nan,Markey,nan,Co
38,nan,McCaskill,nan,Co
38,nan,Menendez,nan,Co
38,nan,Merkley,nan,Co
38,nan,Murphy,nan,Co
38,nan,Murray,nan,Co
38,nan,Nelson,nan,Co
38,nan,Peters,nan,Co
38,nan,Reed,nan,Co
38,nan,Sanders,nan,Co
38,nan,Schatz,nan,Co
38,nan,Schumer,nan,Co
38,nan,Shaheen,nan,Co
38,nan,Stabenow,nan,Co
38,nan,Tester,nan,Co
38,nan,Udall,nan,Co
38,Van,Hollen,nan,Co
38,nan,Warner,nan,Co
38,nan,Warren,nan,Co
38,nan,Whitehouse,nan,Co
38,nan,Wyden,nan,Co
39,nan,Clyburn,nan,Co
39,nan,Pelosi,nan,Co
39,nan,Conyers,nan,Co
39,nan,Hoyer,nan,Co
39,nan,Adams,nan,Co
39,nan,Barragán,nan,Co
39,nan,Bass,nan,Co
39,nan,Beatty,nan,Co
39,nan,Bera,nan,Co
39,nan,Beyer,nan,Co
39,nan,Blumenauer,nan,Co
39,Blunt,Rochester,nan,Co
39,nan,Bonamici,nan,Co
39,nan,Bustos,nan,Co
39,nan,Butterfield,nan,Co
39,nan,Capuano,nan,Co
39,nan,Carbajal,nan,Co
39,nan,Cárdenas,nan,Co
39,nan,Cartwright,nan,Co
39,nan,Cicilline,nan,Co
39,nan,Clay,nan,Co
39,nan,Cohen,nan,Co
39,nan,Connolly,nan,Co
39,nan,Costa,nan,Co
39,nan,Crist,nan,Co
39,nan,Crowley,nan,Co
39,nan,Cummings,nan,Co
39,nan,DeFazio,nan,Co
39,nan,DeGette,nan,Co
39,nan,Delaney,nan,Co
39,nan,DeLauro,nan,Co
39,nan,DelBene,nan,Co
39,nan,Demings,nan,Co
39,nan,Deutch,nan,Co
39,nan,Dingell,nan,Co
39,nan,Ellison,nan,Co
39,nan,Engel,nan,Co
39,nan,Eshoo,nan,Co
39,nan,Espaillat,nan,Co
39,nan,Evans,nan,Co
39,nan,Foster,nan,Co
39,nan,Fudge,nan,Co
39,nan,Gallego,nan,Co
39,nan,Garamendi,nan,Co
39,nan,Grijalva,nan,Co
39,nan,Gutiérrez,nan,Co
39,nan,Hanabusa,nan,Co
39,nan,Hastings,nan,Co
39,nan,Heck,nan,Co
39,nan,Norton,nan,Co
39,nan,Huffman,nan,Co
39,Jackson,Lee,nan,Co
39,nan,Jayapal,nan,Co
39,nan,Jeffries,nan,Co
39,nan,Kaptur,nan,Co
39,nan,Keating,nan,Co
39,nan,Kennedy,nan,Co
39,nan,Khanna,nan,Co
39,nan,Kihuen,nan,Co
39,nan,Kildee,nan,Co
39,nan,Kilmer,nan,Co
39,nan,Kind,nan,Co
39,nan,Langevin,nan,Co
39,nan,Lawrence,nan,Co
39,nan,Lee,nan,Co
39,nan,Levin,nan,Co
39,nan,Loebsack,nan,Co
39,nan,Lofgren,nan,Co
39,nan,Lowenthal,nan,Co
39,nan,Lowey,nan,Co
39,nan,Lynch,nan,Co
39,nan,Matsui,nan,Co
39,nan,McCollum,nan,Co
39,nan,McEachin,nan,Co
39,nan,McGovern,nan,Co
39,nan,McNerney,nan,Co
39,nan,Meeks,nan,Co
39,nan,Meng,nan,Co
39,nan,Moore,nan,Co
39,nan,Moulton,nan,Co
39,nan,Nadler,nan,Co
39,nan,Napolitano,nan,Co
39,nan,Nolan,nan,Co
39,nan,Norcross,nan,Co
39,nan,OHalleran,nan,Co
39,nan,ORourke,nan,Co
39,nan,Pallone,nan,Co
39,nan,Panetta,nan,Co
39,nan,Pascrell,nan,Co
39,nan,Payne,nan,Co
39,nan,Perlmutter,nan,Co
39,nan,Peters,nan,Co
39,nan,Pingree,nan,Co
39,nan,Plaskett,nan,Co
39,nan,Pocan,nan,Co
39,nan,Polis,nan,Co
39,nan,Quigley,nan,Co
39,nan,Raskin,nan,Co
39,nan,Richmond,nan,Co
39,nan,Rosen,nan,Co
39,nan,Roybal-Allard,nan,Co
39,nan,Rush,nan,Co
39,nan,Sánchez,nan,Co
39,nan,Sarbanes,nan,Co
39,nan,Schakowsky,nan,Co
39,nan,Schiff,nan,Co
39,nan,Schneider,nan,Co
39,nan,Schrader,nan,Co
39,nan,Serrano,nan,Co
39,nan,Shea-Porter,nan,Co
39,nan,Sherman,nan,Co
39,nan,Sires,nan,Co
39,nan,Slaughter,nan,Co
39,nan,Soto,nan,Co
39,nan,Speier,nan,Co
39,nan,Suozzi,nan,Co
39,nan,Takano,nan,Co
39,nan,Titus,nan,Co
39,nan,Torres,nan,Co
39,nan,Tsongas,nan,Co
39,nan,Vargas,nan,Co
39,nan,Veasey,nan,Co
39,nan,Vela,nan,Co
39,nan,Velázquez,nan,Co
39,nan,Walz,nan,Co
39,Wasserman,Schultz,nan,Co
39,Watson,Coleman,nan,Co
39,nan,Welch,nan,Co
39,nan,Yarmuth,nan,Co
39,nan,Himes,nan,Co
39,nan,Doggett,nan,Co
39,nan,Cooper,nan,Co
39,nan,Tonko,nan,Co
39,nan,Aguilar,nan,Co
39,nan,Cuellar,nan,Co
39,nan,Krishnamoorthi,nan,Co
39,nan,Ruppersberger,nan,Co
39,nan,Courtney,nan,Co
39,nan,Correa,nan,Co
39,nan,Ruiz,nan,Co
40,nan,Meeks,nan,Primary
40,nan,Barragán,nan,Co
40,nan,Rosen,nan,Co
40,nan,Hastings,nan,Co
40,nan,Lee,nan,Co
40,nan,Gutiérrez,nan,Co
40,nan,Richmond,nan,Co
40,nan,Kaptur,nan,Co
40,nan,Ellison,nan,Co
40,nan,Evans,nan,Co
40,Blunt,Rochester,nan,Co
40,nan,Serrano,nan,Co
40,nan,Norton,nan,Co
40,nan,Vela,nan,Co
40,nan,Schakowsky,nan,Co
40,nan,Sires,nan,Co
40,nan,Courtney,nan,Co
40,Jackson,Lee,nan,Co
40,nan,Rush,nan,Co
40,nan,McCollum,nan,Co
40,nan,Quigley,nan,Co
40,nan,Moulton,nan,Co
41,nan,Scott,nan,Primary
41,nan,Casey,nan,Co
41,nan,Wyden,nan,Co
41,nan,Bennet,nan,Co
41,nan,Graham,nan,Co
42,nan,Gomez,nan,Co
42,nan,Espaillat,nan,Co
43,nan,Roskam,nan,Primary
43,nan,Deutch,nan,Co
43,nan,Nadler,nan,Co
