,billid,firstname,lastname,state,primaryorco,representativeid,billstage,chambername,legistype
100,22,Gene,Green,Texas,Co,128,INTRODUCED,Representative,A BILL
101,23,,Johnson,Georgia,Co,0,INTRODUCED,Senator,A BILL
102,23,Ted,Lieu,California,Co,378,INTRODUCED,Senator,A BILL
103,26,Al,Green,Texas,Primary,132,INTRODUCED,Representative,A BILL
104,26,Al,Green,Texas,Primary,128,INTRODUCED,Representative,A BILL
105,27,,Clarke,New York,Co,330,INTRODUCED,Representative,A BILL
106,27,Al,Green,Texas,Co,132,INTRODUCED,Representative,A BILL
107,27,Al,Green,Texas,Co,128,INTRODUCED,Representative,A BILL
108,27,,Higgins,New York,Co,290,INTRODUCED,Representative,A BILL
109,27,Sean P,Maloney,New York,Co,329,INTRODUCED,Representative,A BILL
110,27,Sean P,Maloney,New York,Co,322,INTRODUCED,Representative,A BILL
111,27,,Rice,New York,Co,335,INTRODUCED,Representative,A BILL
112,27,,Ryan,Ohio,Co,262,INTRODUCED,Representative,A BILL
113,27,,Swalwell,California,Co,361,INTRODUCED,Representative,A BILL
114,28,,Scott,Virginia,Co,52,INTRODUCED,Representative,A BILL
115,30,Judy,Chu,California,Co,388,INTRODUCED,Senator,A BILL
116,30,,Rice,New York,Co,335,INTRODUCED,Senator,A BILL
117,30,,Davis,California,Co,403,INTRODUCED,Senator,A BILL
118,30,,Kelly,Illinois,Co,177,INTRODUCED,Senator,A BILL
119,30,,Lewis,Georgia,Co,221,INTRODUCED,Senator,A BILL
120,30,,Brownley,California,Co,92,INTRODUCED,Senator,A BILL
121,30,Sean P,Maloney,New York,Co,329,INTRODUCED,Senator,A BILL
122,30,Sean P,Maloney,New York,Co,322,INTRODUCED,Senator,A BILL
123,30,,Scott,Virginia,Co,52,INTRODUCED,Senator,A BILL
124,30,,Curbelo,Florida,Co,45,INTRODUCED,Senator,A BILL
125,30,,Johnson,Georgia,Co,0,INTRODUCED,Senator,A BILL
126,30,,Esty,Connecticut,Co,337,INTRODUCED,Senator,A BILL
127,30,Carolyn B,Maloney,New York,Co,329,INTRODUCED,Senator,A BILL
128,30,Carolyn B,Maloney,New York,Co,322,INTRODUCED,Senator,A BILL
129,30,,Clark,Massachusetts,Co,347,INTRODUCED,Senator,A BILL
130,30,David,Scott,Georgia,Co,230,INTRODUCED,Senator,A BILL
131,30,David,Scott,Georgia,Co,216,INTRODUCED,Senator,A BILL
132,30,,Costello,Pennsylvania,Co,308,INTRODUCED,Senator,A BILL
133,30,,Higgins,New York,Co,290,INTRODUCED,Senator,A BILL
134,30,,Kuster,New Hampshire,Co,345,INTRODUCED,Senator,A BILL
135,33,Judy,Chu,California,Co,388,INTRODUCED,Representative,A BILL
136,33,,Swalwell,California,Co,361,INTRODUCED,Representative,A BILL
137,33,Sean P,Maloney,New York,Co,329,INTRODUCED,Representative,A BILL
138,33,Sean P,Maloney,New York,Co,322,INTRODUCED,Representative,A BILL
139,33,,Clarke,New York,Co,330,INTRODUCED,Representative,A BILL
140,33,,Davis,California,Co,403,INTRODUCED,Representative,A BILL
141,33,Ted,Lieu,California,Co,378,INTRODUCED,Representative,A BILL
