representativeid,lastname,firstname,statelabel,statecode,district,chamber,party
502,Klobuchar,Amy,Minnesota,27,0,Senate,Democratic
503,Sasse,Ben,Nebraska,31,0,Senate,Republican
504,Johnson,Ron,Wisconsin,55,0,Senate,Republican
505,McCain,John,Arizona,4,0,Senate,Republican
506,Boozman,John,Arkansas,5,0,Senate,Republican
507,Feinstein,Dianne,California,6,0,Senate,Democratic
508,Franken,Al,Minnesota,27,0,Senate,Democratic
509,Kaine,Tim,Virginia,51,0,Senate,Democratic
510,Roberts,Pat,Kansas,20,0,Senate,Republican
511,Warner,Mark R,Virginia,51,0,Senate,Democratic
513,Isakson,Johnny,Georgia,13,0,Senate,Republican
514,Warren,Elizabeth,Massachusetts,25,0,Senate,Democratic
515,Baldwin,Tammy,Wisconsin,55,0,Senate,Democratic
517,Wicker,Roger F,Mississippi,28,0,Senate,Republican
518,Lankford,James,Oklahoma,40,0,Senate,Republican
519,Sessions,Jeff,Alabama,1,0,Senate,Republican
520,Cassidy,Bill,Louisiana,22,0,Senate,Republican
521,Schumer,Charles E,New York,36,0,Senate,Democratic
522,Bennet,Michael F,Colorado,8,0,Senate,Democratic
525,Risch,James E,Idaho,16,0,Senate,Republican
526,Peters,Gary C,Michigan,26,0,Senate,Democratic
527,Cochran,Thad,Mississippi,28,0,Senate,Republican
528,Graham,Lindsey,South Carolina,45,0,Senate,Republican
529,Harris,Kamala,California,6,0,Senate,Democratic
530,Booker,Cory A,New Jersey,34,0,Senate,Democratic
531,Menendez,Robert,New Jersey,34,0,Senate,Democratic
533,Masto,Catherine Cortez,Nevada,32,0,Senate,Democratic
534,Tillis,Thom,North Carolina,37,0,Senate,Republican
536,Young,Todd,Indiana,18,0,Senate,Republican
537,Reed,Jack,Rhode Island,44,0,Senate,Democratic
538,Cruz,Ted,Texas,48,0,Senate,Republican
539,Cornyn,John,Texas,48,0,Senate,Republican
540,Murray,Patty,Washington,53,0,Senate,Democratic
541,Nelson,Bill,Florida,12,0,Senate,Democratic
542,Van Hollen,Chris,Maryland,24,0,Senate,Democratic
543,Wyden,Ron,Oregon,41,0,Senate,Democratic
